"filename", "language", "JavaScript", "JSON", "JSON with Comments", "Markdown", "Shell Script", "PostCSS", "Svelte", "XML", "HTML", "comment", "blank", "total"
"/home/phantomhex/Documents/baco-svelte/src/lib/utils/poller.js", "JavaScript", 38, 0, 0, 0, 0, 0, 0, 0, 0, 12, 11, 61
"/home/phantomhex/Documents/baco-svelte/src/routes/+layout.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 113, 0, 0, 0, 22, 135
"/home/phantomhex/Documents/baco-svelte/src/routes/+page.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 177, 0, 0, 0, 28, 205
"/home/phantomhex/Documents/baco-svelte/src/routes/accueil/+page.js", "JavaScript", 32, 0, 0, 0, 0, 0, 0, 0, 0, 5, 8, 45
"/home/phantomhex/Documents/baco-svelte/src/routes/accueil/+page.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 481, 0, 0, 0, 68, 549
"/home/phantomhex/Documents/baco-svelte/src/routes/admin/+page.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 592, 0, 0, 0, 81, 673
"/home/phantomhex/Documents/baco-svelte/src/routes/admin/utilisateur/[id]/+page.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 538, 0, 0, 0, 82, 620
"/home/phantomhex/Documents/baco-svelte/src/routes/audit/+page.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 256, 0, 0, 0, 48, 304
"/home/phantomhex/Documents/baco-svelte/src/routes/b201/+page.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 494, 0, 0, 0, 91, 585
"/home/phantomhex/Documents/baco-svelte/src/routes/bus/+page.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 577, 0, 0, 0, 71, 648
"/home/phantomhex/Documents/baco-svelte/src/routes/carte-pn/+page.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 363, 0, 0, 0, 68, 431
"/home/phantomhex/Documents/baco-svelte/src/routes/changelog/+page.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 274, 0, 0, 0, 54, 328
"/home/phantomhex/Documents/baco-svelte/src/routes/clients-pmr/+page.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 361, 0, 0, 0, 47, 408
"/home/phantomhex/Documents/baco-svelte/src/routes/darts/+page.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 217, 0, 0, 0, 34, 251
"/home/phantomhex/Documents/baco-svelte/src/routes/darts/Dartboard.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 71, 0, 0, 0, 12, 83
"/home/phantomhex/Documents/baco-svelte/src/routes/documents/+page.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 252, 0, 0, 0, 53, 305
"/home/phantomhex/Documents/baco-svelte/src/routes/ebp/+page.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 168, 0, 0, 0, 33, 201
"/home/phantomhex/Documents/baco-svelte/src/routes/journal/+page.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 501, 0, 0, 0, 59, 560
"/home/phantomhex/Documents/baco-svelte/src/routes/layout.css", "PostCSS", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"/home/phantomhex/Documents/baco-svelte/src/routes/lignes/+page.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 313, 0, 0, 0, 45, 358
"/home/phantomhex/Documents/baco-svelte/src/routes/notifications/+page.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 206, 0, 0, 0, 36, 242
"/home/phantomhex/Documents/baco-svelte/src/routes/operationnel/+page.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 616, 0, 0, 0, 90, 706
"/home/phantomhex/Documents/baco-svelte/src/routes/planning/+page.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 523, 0, 0, 0, 77, 600
"/home/phantomhex/Documents/baco-svelte/src/routes/pmr/+page.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 281, 0, 0, 0, 33, 314
"/home/phantomhex/Documents/baco-svelte/src/routes/profil/+page.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 465, 0, 0, 0, 83, 548
"/home/phantomhex/Documents/baco-svelte/src/routes/ptcar/+page.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 160, 0, 0, 0, 32, 192
"/home/phantomhex/Documents/baco-svelte/src/routes/repertoire/+page.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 484, 0, 0, 0, 75, 559
"/home/phantomhex/Documents/baco-svelte/src/routes/taxi/+page.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 416, 0, 0, 0, 54, 470
"/home/phantomhex/Documents/baco-svelte/svelte.config.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 4, 3, 14
"/home/phantomhex/Documents/baco-svelte/vercel.json", "JSON", 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32
"/home/phantomhex/Documents/baco-svelte/vite.config.js", "JavaScript", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6
"Total", "-", 576, 5886, 8, 24, 8, 418, 11481, 1, 11, 200, 1967, 20580
